idx,wt_true_um,lt_true_um,wt_pred_um__wtlt_big_泛化_test_2,lt_pred_um__wtlt_big_泛化_test_2,wt_abs_err_um__wtlt_big_泛化_test_2,lt_abs_err_um__wtlt_big_泛化_test_2,wt_pct_err__wtlt_big_泛化_test_2,lt_pct_err__wtlt_big_泛化_test_2,wt_pred_um__wtlt_big_泛化_test_data,lt_pred_um__wtlt_big_泛化_test_data,wt_abs_err_um__wtlt_big_泛化_test_data,lt_abs_err_um__wtlt_big_泛化_test_data,wt_pct_err__wtlt_big_泛化_test_data,lt_pct_err__wtlt_big_泛化_test_data
633,6.0612245,668.13574,14.161311,1023.02,8.100086,354.88428,133.63779,53.115593,14.551257,1008.15753,8.490032,340.0218,140.07124,50.891125
634,6.0612245,684.74567,14.02495,1030.3881,7.9637256,345.6424,131.38806,50.477486,14.399973,1017.60114,8.338749,332.85547,137.57532,48.61009
635,6.0612245,701.3561,13.878969,1036.9167,7.8177447,335.56067,128.97963,47.84455,14.212669,1025.6958,8.151445,324.33972,134.48512,46.244656
636,6.0612245,717.966,13.719538,1042.1273,7.6583133,324.16132,126.34928,45.149952,13.991769,1032.0505,7.9305444,314.08453,130.84064,43.746437
637,6.0612245,734.5762,13.543691,1045.6007,7.482466,311.02454,123.4481,42.34068,13.75127,1036.5232,7.690046,301.94702,126.87281,41.10493
638,6.0612245,751.1866,13.351927,1047.1619,7.2907023,295.97528,120.28432,39.401035,13.508268,1039.2268,7.447044,288.04022,122.863686,38.344696
639,6.0612245,767.79645,13.149332,1047.0101,7.0881076,279.21368,116.94185,36.365585,13.270865,1040.3102,7.209641,272.51373,118.94693,35.492966
640,6.0612245,784.407,12.9414215,1045.6067,6.880197,261.1997,113.51167,33.299004,13.035418,1039.7428,6.974193,255.33582,115.062454,32.551445
641,6.0612245,801.0169,12.72805,1043.3639,6.666826,242.34698,109.99141,30.254915,12.7927475,1037.3623,6.731523,236.3454,111.05879,29.50567
642,6.0612245,817.62726,12.5015,1040.3851,6.4402757,222.75787,106.25371,27.244429,12.5351095,1033.0303,6.473885,215.40302,106.80821,26.344893
643,6.0612245,834.2371,12.249414,1036.4595,6.18819,202.22235,102.09472,24.240393,12.259188,1026.7723,6.197963,192.53522,102.25597,23.079195
644,6.0612245,850.84753,11.95993,1031.1223,5.898706,180.27478,97.31872,21.187672,11.966034,1018.73627,5.9048095,167.88873,97.41942,19.731941
645,6.0612245,867.45776,11.628145,1023.80084,5.5669208,156.34308,91.84482,18.023134,11.658826,1009.0593,5.5976014,141.60156,92.351,16.32374
646,6.0612245,884.068,11.262026,1014.0221,5.2008014,129.9541,85.80447,14.699559,11.338744,997.62445,5.2775197,113.55646,87.07019,12.844765
647,6.0612245,900.678,10.877854,1001.308,4.81663,100.630005,79.466286,11.172695,11.000072,983.58813,4.938847,82.91016,81.48266,9.205305
648,6.0612245,917.28815,10.4807625,984.4693,4.419538,67.18115,72.91494,7.3238873,10.631652,965.36444,4.5704274,48.076294,75.40436,5.241133
649,6.0612245,933.89813,10.0613785,962.2113,4.000154,28.313171,65.995804,3.0317194,10.226788,941.9133,4.165563,8.015198,68.724785,0.85825187
650,6.0612245,950.5084,9.621353,935.3769,3.5601287,15.131531,58.736126,1.5919408,9.788349,913.8854,3.7271247,36.623047,61.49128,3.8529954
651,6.0612245,967.11847,9.176045,906.58496,3.114821,60.53351,51.3893,6.259162,9.323839,882.80634,3.2626147,84.31213,53.82765,8.71787
652,6.0612245,983.7288,8.729189,877.33453,2.6679645,106.39429,44.016922,10.815408,8.839622,849.7156,2.778397,134.01324,45.838875,13.622986
653,6.0612245,1000.3392,8.263346,846.65796,2.2021213,153.68121,36.33129,15.362911,8.339271,814.70844,2.2780461,185.63074,37.583927,18.55678
654,6.0612245,1016.9492,7.7646565,813.13,1.7034321,203.81921,28.103764,20.042221,7.8246937,777.25867,1.7634692,239.69055,29.094273,23.569569
655,6.0612245,1033.5594,7.238976,776.4789,1.1777515,257.08057,19.430918,24.873322,7.2972946,736.70404,1.2360702,296.8554,20.393076,28.721657
656,6.0612245,1050.1697,6.6943536,736.3637,0.6331291,313.80597,10.445565,29.881454,6.7588663,692.6339,0.69764185,357.53577,11.509916,34.045525
